,masses,obligate.walk,facultative.walk,Ground_running_specialised,Documented_walking_ability,Hopping,Perching,Hanging_Clinging,Scansorial,Raptorial,Digit_manip,Force_grip,Hold_down,Swimming_ability,Surface_foot_propelled_swimming,Submerged_foot_propelled_swimming
Chordeiles_pusillus,75.75,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Chroicocephalus_cirrocephalus,312.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Chunga_burmeisteri,1200,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Climacteris_melanura,32,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Colinus_cristatus,190.75,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Urocolius_indicus,49.5,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Colius_colius,52.5,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Columba_livia,487,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Columbina_minuta,34.1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Coracias_cyanogaster,171,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Corvus_albus,412.5,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0
Crax_alector,2852.5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Cryptopipo_holochlora,17.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Crypturellus_tataupa,221.25,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Cuculus_optatus,69.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dendrocygna_viduata,747.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Deroptyus_accipitrinus,245,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0
Phoebastria_nigripes,3395,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Elaenia_flavogaster,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Elanus_leucurus,259,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
Eudromia_elegans,647,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Eurypyga_helias,241.75,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Falco_sparverius,118,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
Fregata_magnificens,1250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fringilla_coelebs,23,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Galbula_dea,28.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gavia_immer,1724,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Glareola_nuchalis,79,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Grus_canadensis,6760,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Haematopus_palliatus,623.75,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Heliornis_fulica,608.5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Hemiprocne_comata,22.225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hirundinea_ferruginea,31.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hymenops_perspicillatus,20.1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
