,masses,Exclusive_pelagic_soaring,Soaring_over_land,Wing_propelled_diving,Sallying_flight,Aerial_pursuit_hunting,Cluttered_flight,Migratory_flight,Escape_burst_flight,Flap_bounding,Flap_gliding,Hovering,Source
Cathartes_burrovianus,1220,0,1,0,0,0,1,1,0,0,0,0,This is a soaring bird. I think this behaviour is distinct from flap-gliding. 
Pipra_erythrocephala,13.45,0,0,0,1,0,1,0,0,0,0,0,Bostwick and Prum 2003 note that this genus can produce sounds with its wings. Elaborate display flights are described. I think these are continuously fluttering birds. 
Chaetura_brachyura,23.5,0,0,0,0,1,1,0,0,0,1,0,Youtube videos of birds in this genus demonstrate flap-gliding capability. 
Charadrius_hiaticula,96.5,0,0,0,0,0,0,1,0,0,0,0,"Bruderer et al., 2010: Charadrius montana"
Chauna_torquata,2620,0,1,0,0,0,1,0,0,0,0,0,"Close et al., 2012"
Chelidoptera_tenebrosa,35.75,0,0,0,1,0,1,0,0,0,0,0,"Hartman, F.A., 1961. Locomotor mechanisms of birds. Puffbirds are described as sedentary with occasional sallying. I suspect they do not bound, glide or hover. "
Chloroceryle_inda,121,0,0,0,1,0,1,0,0,0,1,0,This is a kingfisher and I am assuming its flight is similar to the genus alcedo. 
Chordeiles_pusillus,75.75,0,0,0,1,1,1,1,0,0,1,0,Youtube video 
Chroicocephalus_cirrocephalus,312.5,1,0,0,0,0,0,1,0,0,1,0,"Bruderer et al., 2010; Larus"
Chunga_burmeisteri,1200,0,0,0,0,0,1,0,0,0,0,0,"I am struggling to find information on this bird. I suspect it is too massive to practice bounding, flap-gliding or hovering. "
Climacteris_melanura,32,0,0,0,0,0,1,0,0,1,0,0,This is a small passerine and I suspect it flap-bounds. 
Colinus_cristatus,190.75,0,0,0,0,0,1,0,1,0,0,0,"Birds of the World attests that this is a high-acceleration burst flight bird; I do not think it bounds, glides or hovers. "
Urocolius_indicus,49.5,0,0,0,0,0,1,0,0,0,0,0,
Colius_colius,52.5,0,0,0,0,0,1,0,0,0,0,0,"Rayner et al., 2011 aerodynamics and energetics of intermittent flight in birds. "
Columba_livia,487,0,0,0,0,0,1,1,0,0,1,1,"Tobalske 2001; Bruder et al., 2010; Crandell & Tobalske, 2011"
Columbina_minuta,34.1,0,0,0,0,0,1,0,0,0,1,0,
Coracias_cyanogaster,171,0,0,0,0,0,1,0,0,0,0,0,"Acrobatic flight attested, but surprisingly difficult to find full descriptions or videos. "
Corvus_albus,412.5,0,0,0,0,0,1,1,0,0,1,0,"Bruderer et al., 2010; corvus"
Crax_alector,2852.5,0,0,0,0,0,1,0,1,0,0,0,"Parker et al., 2002 ‘Bheavior, habitat, and status…’ describes Curassow flight as limited to escape within cluttered environments."
Cryptopipo_holochlora,17.5,0,0,0,0,0,1,0,0,1,0,1,Birds of the World attests short-term hovering capacity. Passerine. Flap-bounding assumed. 
Crypturellus_tataupa,221.25,0,0,0,0,0,1,0,1,0,0,0,"Close et al., 2012; Crypturellus cinammomeus"
Cuculus_optatus,69.25,0,0,0,0,0,1,0,0,0,0,0,"Close et al., 2012; Cuculus canorus"
Dendrocygna_viduata,747.5,0,0,0,0,0,0,1,0,0,0,0,Birds of the World video footage shows continuous flapping. I admit this is negative evidence. 
Deroptyus_accipitrinus,245,0,0,0,0,0,1,0,0,0,1,0,I think parrots in general practice flap-gliding flight styles. 
Phoebastria_nigripes,3395,1,0,0,0,0,0,1,0,0,0,0,"Martin-Silverstone et al., 2015"
Elaenia_flavogaster,25,0,0,0,1,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Elanus_leucurus,259,0,1,0,0,0,0,0,0,0,1,1,Birds of the World video footage shows hovering and interspersed gliding behaviour. 
Eudromia_elegans,647,0,0,0,0,0,0,0,1,0,0,0,
Eurypyga_helias,241.75,0,0,0,0,0,1,0,0,0,0,0,
Falco_sparverius,118,0,1,0,1,1,1,1,0,0,1,0,"Tobalske 2001; Bruderer et al., 2010"
Fregata_magnificens,1250,1,0,0,0,1,0,0,0,0,1,0,Birds of the World footage shows interspersed flapping and gliding. I do not know if you would count this as ‘flap-gliding’. They are pre-eminently soaring birds. 
Fringilla_coelebs,23,0,0,0,1,0,1,1,0,1,0,1,"Tobalske 2001; Bruderer et al., 2010; hovering attested by Birds of the World"
Galbula_dea,28.75,0,0,0,1,0,1,0,0,1,1,0,Birds of the World attests ‘undulating’ flight; this is flap-bounding or flap-gliding. 
Gavia_immer,1724,0,0,0,0,0,0,1,0,0,0,0,"Martin-Silverstone et al., 2015"
Glareola_nuchalis,79,0,0,0,0,1,0,1,0,0,0,0,Difficult to find information; lack of bounding and hovering assumed. Youtube videos of Glareola pratincola tend to show continuous flapping. 
Grus_canadensis,6760,0,1,0,0,0,1,1,0,0,0,0,"Martin-Silverstone et al., 2015"
Haematopus_palliatus,623.75,0,0,0,0,0,0,1,0,0,0,0,"Bruderer et al., 2010; Haematopus bachmani"
