R_name,Prum_name,Genus,Species,Family,Order,Prum_genus,Prum_species,Prum_family,Prum_Order,Mass_M_(hbw_alive),Mass_F_(hbw_alive),obligate walk,facultative walk,Ground_running_specialised,unclear walking just in case,Documented_walking_ability,Terr0_Arb1,Nesting_substrate (ground 0),Hopping,Perching,Anisodactyl,Zygodactyl,Heterodactyl,Pamprodactyl,Hanging_Clinging,Scansorial,Raptorial,Digit_manip,Force_grip,Hold_down,Flightless,Swimming_ability,Surface_foot_propelled_swimming,Webbed_feet,Palmate0_Totipalmate1,Submerged_foot_propelled_swimming,SubFP swim type,Beak_use_Andrew,ndiet-Inv,ndiet-Vend,ndiet-Vect,ndiet-Vfish,ndiet-Vunk,ndiet-Scav,ndiet-Fruit,ndiet-Nect,ndiet-Seed,ndiet-PlantO,Diet-5Cat,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,Exclusive_pelagic_soaring,Soaring_over_land,Ubiquitous ,Recorded,Ubiquitous ,Recorded,Wing_propelled_diving,Ubiquitous ,Recorded,Sallying_flight,Ubiquitous ,Recorded,Aerial_pursuit_hunting,Ubiquitous ,Recorded,Cluttered_flight,Recorded,Migratory_flight,Ubiquitous ,Recorded,Escape_burst_flight
Calyptomena_viridis_NHMUK_s1969.1.70,Calyptomena,Calyptomena,viridis,Calyptomenidae,Passeriformes,Calyptomena,viridis,Calyptomenidae,Passeriformes,57.9,57.9,0,0,0,unclear,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,30,0,0,0,0,0,70,0,0,0,FruiNect,0,0,10,50,40,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Capito_niger_FMNH_321049,Capito,Capito,niger,Capitonidae,Piciformes,Capito,niger,Capitonidae,Piciformes,54.5,54.5,0,0,0,unclear,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,20,0,0,0,0,0,80,0,0,0,FruiNect,0,0,0,20,80,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Caprimulgus_macrurus_FMNH_392245,Caprimulgus,Caprimulgus,macrurus,Caprimulgidae, Caprimulgiformes,Caprimulgus,europaeus,Caprimulgidae, Caprimulgiformes,66.5,68.5,0,1,0,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,40,50,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0
Caracara_cheriway_UMMZ_133664,Caracara,Caracara,cheriway,Falconidae,Falconiformes,Caracara,,,,1106,1211,1,1,1,,1,0,2,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,0,,Tearing,20,0,20,0,0,60,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Cariama_cristata_FMNH_105653,Cariama,Cariama,cristata,Cariamidae,Cariamiformes,Cariama,,,,1862.5,1862.5,1,1,1,,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,60,10,10,0,0,0,10,0,0,10,Invertebrate,0,0,60,40,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0
Cathartes_burrovianus_UMMZ_227466,Cathartes,Cathartes,burrovianus,Cathartidae,Accipitriformes,Cathartes,,,,1185,1255,0,1,0,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,,Tearing,0,0,0,0,0,100,0,0,0,0,VertFishScav,0,0,100,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
Chaetura_brachyrua_UMMZ_157689,Chaetura†,Chaetura,pelagica,Apodidae,Apodiformes,Chaetura,,,,23.5,23.5,0,0,0,,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,10,0,90,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,0,NA,NA,0
Charadris_vociferus_FMNH_470173,Charadrius,Charadris,vociferus,Charadriidae,Charadriiformes,Charadrius,hiaticula,Charadriidae,Charadriiformes,96.5,96.5,1,1,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,NA,0,,Pecking/grazing,90,0,0,0,0,0,0,0,10,0,Invertebrate,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Chauna_chavaria_OUMNH_23790,Chauna,Chauna,chavaria,Anhimidae,Anseriformes,Chauna,,,,2620,2620,1,1,0,,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Pecking/grazing,0,0,0,0,0,0,0,0,0,100,PlantSeed,0,40,60,0,0,0,0,0,0,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Chelidoptera_tenebrosa_YPM_114404,Chelidoptera,Chelidoptera,tenebrosa,Bucconidae, Piciformes,Chelidoptera,,,,35.75,35.75,0,0,0,,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,0,30,30,40,0,0,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Chloropipio_holochlora_FMNH_288169,Cryptopipo,Chloropipio,holochlora,Pipridae,Passeriformes,Cryptopipo,holochlora,Pipridae,Passeriformes,17.5,17.5,0,0,0,unclear,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,70,0,0,0,0,0,30,0,0,0,Invertebrate,0,0,0,50,50,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Choloroceryle_amazona_UMMZ_209261,Choloroceryle,Choloroceryle,amazona,Alcedinidae,Coraciiformes,Chloroceryle,,,,109.5,132.5,0,1,0,,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,,Grabbing/gleaning,50,0,0,50,0,0,0,0,0,0,Omnivore,100,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Chordeiles_minor_UMMZ_233923,Chordeiles,Chordeiles,minor,Caprimulgidae,Caprimulgiformes,Chordeiles,,,,76.5,75,0,1,0,,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,100,0,0,0,0,0,0,0,0,0,Invertebrate,0,0,0,10,0,0,90,0,0,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,1,NA,NA,0
Choriotis_kori_UMMZ_210444,Ardeotis,Choriotis,kori,Otididae,Otidiformes,Ardeotis,,,,14950,5900,1,1,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,20,10,10,0,0,0,20,0,20,20,Omnivore,0,0,90,10,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,0
Chunga_burmeisteri_FMNH_106731,Chunga,Chunga,burmeisteri,Cariamidae,Cariamiformes,Chunga,,,,1200,1200,1,1,1,,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Pecking/grazing,30,30,0,0,0,0,0,0,10,30,Omnivore,0,0,60,40,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Climacteris_melanura_UMMZ_214303,Climacteris,Climacteris,melanura,Climacteridae,Passeriformes,Climacteris,,,,32,32,0,1,0,,1,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,90,0,0,0,0,0,0,10,0,0,Invertebrate,0,0,10,10,80,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Colinus_virginianus_FMNH_105065,Colinus,Colinus,virginianus,Odontophoridae,Galliformes,Colinus,cristatus,Odontophoridae,Galliformes,188.5,193,1,1,1,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Pecking/grazing,0,0,0,0,0,0,0,0,70,30,PlantSeed,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
